,chi_sq_dof,chi_sq_rel_like
549e03,4.026460689825201,0.10048168400217773
882978,3.1488551506029667,0.24167189522770183
aa38c5,4.225374951888752,0.08235681420650647
537383,3.7591303181375757,0.13127650629986384
0b4238,3.2162858219086776,0.2259130814791975
bc74b3,3.6293891759844468,0.14946271683292658
1db8d0,3.941220832730006,0.10942236684746696
7736f2,4.991101600095371,0.038295582568019904
edb057,3.497640361388346,0.17051031451656629
d0cda6,3.5025877046036977,0.16966882475459988
4dcc5f,3.2038355927025295,0.22874333320637855
a2af41,5.06848573266108,0.03544387357623853
40dc23,2.842210920255394,0.3283976533101922
d5f64e,2.791845600137279,0.34536110535959014
e9f25c,2.8311047331290133,0.3320652277851942
1a2cc4,3.221544266234387,0.2247282480383063
cf7e21,5.271305984714129,0.02893726373842729
2824c7,2.247980592146951,0.5949370251341581
5dbe8f,3.2505745251385854,0.21829811461347098
5947fc,2.6070398289454704,0.4154641475281575
563a91,2.6426138768549494,0.40094420385756396
2722de,1.7286808729983254,1.0
856ef3,2.640804461633895,0.4016703351412042
eb2234,2.4719993569322423,0.47553324482345977
707117,4.250755551293264,0.08029285199084248
4bc76f,7.491567432429591,0.003142028842804587
dd3b63,4.835367578839418,0.04474897650850754
c84b19,4.876788273315735,0.042933305583922575
f1427f,2.407736590754674,0.5070956077342458
4b8a49,3.293607139939987,0.20910343044033025
538629,2.5629173230767845,0.43420589276769567
6e59d0,8.453333665132396,0.001200937482071252
83005c,2.7428663758272895,0.3626977258289172
ac7030,4.218719994368537,0.08290672308712133
e4230e,2.253995485726592,0.5913692827930616
dfebd3,3.0564626409158753,0.2650645844145762
67a2b3,2.6086605973944916,0.4147913217408349
6c1759,4.863519340656596,0.04350678101394694
df904c,3.4992703975846324,0.17023260293352072
